Sum of HNI,IPO Name,IPO Success,Sum of Issue Size,Year,Quarter,Month,Day,Sum of Offer Price,Sum of QIB,Sum of RII,Sum of Total,Sum of Year
40.36,Harsha Engineers,1,755,2022,Qtr 3,September,26,330,178.26,12.44,47.19,2022
4.29,Hathway Cable & Datacom Limited,0,666,2010,Qtr 1,February,25,240,1.43,0.28,1.36,2010
9.99,HDB Financial Services Limited,0,12500,2025,Qtr 3,July,2,740,55.47,1.41,16.69,2025
195.15,HDFC Asset Management Company Ltd,1,2800.33,2018,Qtr 3,August,6,1100,192.26,6.73,83.06,2018
2.29,HDFC Life Insurance Company Ltd,0,8695,2017,Qtr 4,November,17,290,16.6,0.94,4.9,2017
0.43,Healthcare Global Enterprises Ltd,0,649.64,2016,Qtr 1,March,30,218,2.36,0.83,1.56,2016
271.15,Heranba Industries Limited,1,625.24,2021,Qtr 1,March,5,627,67.45,11.84,83.29,2021
0.2,Hexaware Technologies Limited,0,8750,2025,Qtr 1,February,19,708,9.09,0.11,2.66,2025
0.03,Hindustan Aeronautics Ltd (HAL),0,4113.13,2018,Qtr 1,March,28,1215,1.73,0.39,0.99,2018
3.39,Hindustan Media Ventures Limited,0,270,2010,Qtr 3,July,21,166,8.98,1,5.43,2010
2.97,HMA Agro Industries Limited,0,480,2023,Qtr 3,July,4,585,1.74,0.96,1.62,2023
39,Home First Finance Company India Limited,0,1153.72,2021,Qtr 1,February,3,518,52.53,6.59,26.66,2021
4.02,Honasa Consumer Limited (Mamaearth),0,1701.44,2023,Qtr 4,November,7,324,11.5,1.35,7.61,2023
330.36,Housing & Urban Development Corporation Ltd,1,1209.78,2017,Qtr 2,May,19,60,55.45,10.79,79.53,2017
19.04,HP Adhesives Limited,0,125.96,2021,Qtr 4,December,27,274,1.82,81.24,20.96,2021
22.2,HPL Electric & Power Ltd,0,361,2016,Qtr 4,October,4,202,5.77,3.31,8.06,2016
0.6,Hyundai Motor India Limited,0,27858.8,2024,Qtr 4,October,22,1960,6.97,0.5,2.37,2024
0.83,ICICI Lombard General Insurance Company Ltd,0,5700.94,2017,Qtr 3,September,27,661,8.17,1.23,2.98,2017
28.55,ICICI Prudential Life Insurance Company Ltd,0,6056.79,2016,Qtr 3,September,29,334,11.83,1.42,10.48,2016
0.36,ICICI Securities Ltd,0,3514.85,2018,Qtr 2,April,4,520,1.04,0.88,0.78,2018
80.58,Ideaforge Technologies Limited,1,567.25,2023,Qtr 3,July,7,672,125.81,85.2,106.06,2023
63.35,IKIO Technologies Limited (formerly IKIO Lighting Limited),1,606.5,2023,Qtr 2,June,16,285,163.58,13.86,66.3,2023
39.39,IL&FS Transportation Networks Limited,0,700,2010,Qtr 1,March,30,258,52.61,4.56,33.42,2010
0.7,Imagicaaworld Entertainment Ltd,0,374.59,2015,Qtr 2,April,6,180,1.17,1.37,1.11,2015
51.88,India Pesticides Limited,1,800,2021,Qtr 3,July,5,296,42.95,11.3,29.04,2021
28.51,India Shelter Finance Limited,1,1200,2023,Qtr 4,December,20,493,89.7,9.95,36.71,2023
15.78,Indiamart Intermesh Ltd,1,475.59,2019,Qtr 3,July,4,973,14.92,3.03,12.95,2019
0.85,Indian Energy Exchange Ltd,0,1000.73,2017,Qtr 4,October,23,1650,2.56,2.61,2.28,2017
354.52,Indian Railway Catering and Tourism Corporation Ltd,1,637.97,2019,Qtr 4,October,14,320,108.79,14.94,111.95,2019
2.67,Indian Railway Finance Corporation Limited,0,4633.38,2021,Qtr 1,January,29,26,3.78,3.66,3.49,2021
24.16,Indian Renewable Energy Development Agency Limited (IREDA),1,2150.21,2023,Qtr 4,November,29,32,104.57,7.73,38.8,2023
263.05,Indigo Paints Limited,1,1169.12,2021,Qtr 1,February,2,1490,189.57,15.93,117.02,2021
1.6,IndiGrid Infrastructure Fund,0,2249.96,2017,Qtr 2,June,6,100,1.14,0,1.35,2017
8.27,Indiqube Spaces Limited,0,700,2025,Qtr 3,July,30,237,14.35,12.9,12.41,2025
503.83,Indo Farm Equipment Limited,1,260.15,2025,Qtr 1,January,7,215,242.4,104.92,229.68,2025
0.02,Indo Thai Securities Ltd,0,29.6,2011,Qtr 4,November,2,74,0,3.35,1.18,2011
48.39,Indogulf Cropsciences Limited,0,200,2025,Qtr 3,July,3,111,33.26,14.78,25.98,2025
1.3,Indosolar Limited,0,357,2010,Qtr 3,September,29,29,1.44,1.81,1.55,2010
6.91,Indostar Capital Finance Ltd,0,1844,2018,Qtr 2,May,21,572,16.08,1.48,6.8,2018
6.93,Indus Infra Trust,0,2499.99,2024,Qtr 1,March,12,100,8.92,0,8.01,2024
0.29,Indus Towers Ltd,0,4172.76,2012,Qtr 4,December,28,220,2.84,0.19,1.3,2012
2.23,Infibeam Avenues Ltd,0,450,2016,Qtr 2,April,4,432,0.86,1.31,1.11,2016
106.02,Infinite Computer Solutions Limited,0,189.8,2010,Qtr 1,February,3,165,48.44,11.08,43.22,2010
64.95,Innova Captab Limited,0,570,2023,Qtr 4,December,29,448,116.73,17.15,55.26,2023
1.94,Innoventive Industries Ltd,0,217.41,2011,Qtr 2,May,13,117,0.85,1.48,1.24,2011
0.47,Inox Green Energy Limited,0,740,2022,Qtr 4,November,23,65,1.05,4.7,1.55,2022
53.2,Inox India Limited,1,1459.32,2023,Qtr 4,December,21,660,147.8,15.3,61.28,2023
35.38,Inox Wind Ltd,1,1020.53,2015,Qtr 2,April,9,325,35.68,2.15,18.6,2015
128.42,Interarch Building Products Limited,1,600.29,2024,Qtr 3,August,26,900,205.41,19.11,93.53,2024
3.57,Interglobe Aviation Ltd,0,3008.5,2015,Qtr 4,November,10,765,17.8,0.92,6.15,2015
24.84,International Gemmological Institute (India) Limited,1,4225,2024,Qtr 4,December,20,417,45.8,11.21,33.78,2024
21.6,Intrasoft Technologies Limited,0,53.65,2010,Qtr 2,April,12,145,21.97,13.51,18.95,2010
9.49,Inventure Growth & Securities Ltd,0,81.9,2011,Qtr 3,August,4,117,0.25,8.66,4.58,2011
23.25,Inventurus Knowledge Solutions Limited,1,2497.92,2024,Qtr 4,December,19,1329,80.64,14.55,52.68,2024
5.89,IRB InvIT Fund,0,5032.88,2017,Qtr 2,May,18,102,10.81,0,8.57,2017
4.92,Ircon International Ltd,0,466.94,2018,Qtr 3,September,28,475,12.29,10.07,9.9,2018
48.34,IRM Energy Limited,0,544.36,2023,Qtr 4,October,26,505,44.73,9.29,27.05,2023
46.33,J.G.Chemicals Ltd,0,251.19,2024,Qtr 1,March,13,221,32.09,17.44,27.78,2024
